year	20C3M	commit	B1	A1B	A2
1900	-0.614	0.000	0.000	0.000	0.000
1901	-0.601	0.000	0.000	0.000	0.000
1902	-0.599	0.000	0.000	0.000	0.000
1903	-0.705	0.000	0.000	0.000	0.000
1904	-0.691	0.000	0.000	0.000	0.000
1905	-0.651	0.000	0.000	0.000	0.000
1906	-0.609	0.000	0.000	0.000	0.000
1907	-0.602	0.000	0.000	0.000	0.000
1908	-0.606	0.000	0.000	0.000	0.000
1909	-0.597	0.000	0.000	0.000	0.000
1910	-0.567	0.000	0.000	0.000	0.000
1911	-0.57	0.000	0.000	0.000	0.000
1912	-0.587	0.000	0.000	0.000	0.000
1913	-0.622	0.000	0.000	0.000	0.000
1914	-0.639	0.000	0.000	0.000	0.000
1915	-0.571	0.000	0.000	0.000	0.000
1916	-0.523	0.000	0.000	0.000	0.000
1917	-0.532	0.000	0.000	0.000	0.000
1918	-0.531	0.000	0.000	0.000	0.000
1919	-0.498	0.000	0.000	0.000	0.000
1920	-0.525	0.000	0.000	0.000	0.000
1921	-0.553	0.000	0.000	0.000	0.000
1922	-0.495	0.000	0.000	0.000	0.000
1923	-0.472	0.000	0.000	0.000	0.000
1924	-0.523	0.000	0.000	0.000	0.000
1925	-0.505	0.000	0.000	0.000	0.000
1926	-0.511	0.000	0.000	0.000	0.000
1927	-0.482	0.000	0.000	0.000	0.000
1928	-0.483	0.000	0.000	0.000	0.000
1929	-0.493	0.000	0.000	0.000	0.000
1930	-0.501	0.000	0.000	0.000	0.000
1931	-0.521	0.000	0.000	0.000	0.000
1932	-0.495	0.000	0.000	0.000	0.000
1933	-0.492	0.000	0.000	0.000	0.000
1934	-0.48	0.000	0.000	0.000	0.000
1935	-0.44	0.000	0.000	0.000	0.000
1936	-0.422	0.000	0.000	0.000	0.000
1937	-0.488	0.000	0.000	0.000	0.000
1938	-0.45	0.000	0.000	0.000	0.000
1939	-0.394	0.000	0.000	0.000	0.000
1940	-0.433	0.000	0.000	0.000	0.000
1941	-0.4	0.000	0.000	0.000	0.000
1942	-0.405	0.000	0.000	0.000	0.000
1943	-0.416	0.000	0.000	0.000	0.000
1944	-0.436	0.000	0.000	0.000	0.000
1945	-0.374	0.000	0.000	0.000	0.000
1946	-0.422	0.000	0.000	0.000	0.000
1947	-0.415	0.000	0.000	0.000	0.000
1948	-0.36	0.000	0.000	0.000	0.000
1949	-0.399	0.000	0.000	0.000	0.000
1950	-0.361	0.000	0.000	0.000	0.000
1951	-0.351	0.000	0.000	0.000	0.000
1952	-0.366	0.000	0.000	0.000	0.000
1953	-0.365	0.000	0.000	0.000	0.000
1954	-0.351	0.000	0.000	0.000	0.000
1955	-0.317	0.000	0.000	0.000	0.000
1956	-0.306	0.000	0.000	0.000	0.000
1957	-0.323	0.000	0.000	0.000	0.000
1958	-0.305	0.000	0.000	0.000	0.000
1959	-0.31	0.000	0.000	0.000	0.000
1960	-0.334	0.000	0.000	0.000	0.000
1961	-0.318	0.000	0.000	0.000	0.000
1962	-0.339	0.000	0.000	0.000	0.000
1963	-0.382	0.000	0.000	0.000	0.000
1964	-0.425	0.000	0.000	0.000	0.000
1965	-0.434	0.000	0.000	0.000	0.000
1966	-0.407	0.000	0.000	0.000	0.000
1967	-0.337	0.000	0.000	0.000	0.000
1968	-0.335	0.000	0.000	0.000	0.000
1969	-0.358	0.000	0.000	0.000	0.000
1970	-0.322	0.000	0.000	0.000	0.000
1971	-0.306	0.000	0.000	0.000	0.000
1972	-0.269	0.000	0.000	0.000	0.000
1973	-0.287	0.000	0.000	0.000	0.000
1974	-0.257	0.000	0.000	0.000	0.000
1975	-0.272	0.000	0.000	0.000	0.000
1976	-0.262	0.000	0.000	0.000	0.000
1977	-0.162	0.000	0.000	0.000	0.000
1978	-0.158	0.000	0.000	0.000	0.000
1979	-0.18	0.000	0.000	0.000	0.000
1980	-0.124	0.000	0.000	0.000	0.000
1981	-0.088	0.000	0.000	0.000	0.000
1982	-0.138	0.000	0.000	0.000	0.000
1983	-0.197	0.000	0.000	0.000	0.000
1984	-0.161	0.000	0.000	0.000	0.000
1985	-0.129	0.000	0.000	0.000	0.000
1986	-0.055	0.000	0.000	0.000	0.000
1987	-0.018	0.000	0.000	0.000	0.000
1988	-0.012	0.000	0.000	0.000	0.000
1989	0.04	0.000	0.000	0.000	0.000
1990	0.102	0.000	0.000	0.000	0.000
1991	0.022	0.000	0.000	0.000	0.000
1992	-0.134	0.000	0.000	0.000	0.000
1993	-0.021	0.000	0.000	0.000	0.000
1994	0.031	0.000	0.000	0.000	0.000
1995	0.064	0.000	0.000	0.000	0.000
1996	0.119	0.000	0.000	0.000	0.000
1997	0.137	0.000	0.000	0.000	0.000
1998	0.158	0.000	0.000	0.000	0.000
1999	0.194	0.000	0.000	0.000	0.000
2000	0.000	0.211	0.235	0.24	0.256
2001	0.000	0.241	0.229	0.234	0.266
2002	0.000	0.255	0.254	0.272	0.262
2003	0.000	0.236	0.292	0.316	0.257
2004	0.000	0.256	0.333	0.324	0.305
2005	0.000	0.265	0.32	0.339	0.349
2006	0.000	0.295	0.323	0.362	0.372
2007	0.000	0.309	0.363	0.401	0.373
2008	0.000	0.345	0.371	0.435	0.387
2009	0.000	0.346	0.359	0.414	0.376
2010	0.000	0.33	0.413	0.408	0.423
2011	0.000	0.344	0.5	0.439	0.456
2012	0.000	0.328	0.489	0.516	0.461
2013	0.000	0.297	0.47	0.505	0.46
2014	0.000	0.335	0.538	0.519	0.492
2015	0.000	0.349	0.548	0.546	0.526
2016	0.000	0.303	0.576	0.562	0.579
2017	0.000	0.306	0.595	0.59	0.555
2018	0.000	0.358	0.627	0.605	0.553
2019	0.000	0.388	0.626	0.616	0.606
2020	0.000	0.381	0.657	0.684	0.615
2021	0.000	0.352	0.709	0.683	0.625
2022	0.000	0.372	0.691	0.72	0.658
2023	0.000	0.355	0.688	0.73	0.7
2024	0.000	0.369	0.737	0.752	0.705
2025	0.000	0.394	0.717	0.758	0.748
2026	0.000	0.386	0.717	0.801	0.725
2027	0.000	0.403	0.757	0.86	0.718
2028	0.000	0.368	0.759	0.898	0.763
2029	0.000	0.377	0.787	0.92	0.777
2030	0.000	0.405	0.822	0.944	0.809
2031	0.000	0.411	0.837	0.927	0.834
2032	0.000	0.426	0.853	1.018	0.893
2033	0.000	0.421	0.862	1.038	0.939
2034	0.000	0.399	0.881	1.033	0.953
2035	0.000	0.394	0.879	1.09	0.954
2036	0.000	0.406	0.878	1.092	1.022
2037	0.000	0.398	0.91	1.166	1.018
2038	0.000	0.452	0.952	1.209	1.045
2039	0.000	0.439	0.96	1.266	1.065
2040	0.000	0.42	0.98	1.266	1.097
2041	0.000	0.464	1.004	1.29	1.164
2042	0.000	0.442	1.015	1.308	1.186
2043	0.000	0.444	1.05	1.348	1.202
2044	0.000	0.471	1.067	1.374	1.231
2045	0.000	0.421	1.055	1.411	1.272
2046	0.000	0.413	1.085	1.461	1.286
2047	0.000	0.426	1.114	1.489	1.305
2048	0.000	0.442	1.132	1.532	1.368
2049	0.000	0.425	1.136	1.546	1.42
2050	0.000	0.459	1.138	1.565	1.398
2051	0.000	0.473	1.169	1.573	1.438
2052	0.000	0.417	1.233	1.6	1.516
2053	0.000	0.396	1.242	1.694	1.577
2054	0.000	0.416	1.231	1.709	1.604
2055	0.000	0.474	1.245	1.711	1.608
2056	0.000	0.483	1.273	1.734	1.648
2057	0.000	0.478	1.29	1.777	1.702
2058	0.000	0.459	1.358	1.801	1.707
2059	0.000	0.48	1.386	1.843	1.768
2060	0.000	0.468	1.365	1.848	1.827
2061	0.000	0.478	1.388	1.907	1.854
2062	0.000	0.471	1.403	1.937	1.893
2063	0.000	0.495	1.437	1.972	1.947
2064	0.000	0.501	1.443	2.009	1.94
2065	0.000	0.516	1.49	2.018	1.986
2066	0.000	0.548	1.486	2.058	2.066
2067	0.000	0.494	1.473	2.092	2.097
2068	0.000	0.449	1.532	2.133	2.137
2069	0.000	0.484	1.532	2.141	2.183
2070	0.000	0.508	1.543	2.163	2.249
2071	0.000	0.546	1.597	2.219	2.256
2072	0.000	0.482	1.597	2.242	2.364
2073	0.000	0.47	1.547	2.247	2.364
2074	0.000	0.515	1.585	2.255	2.392
2075	0.000	0.505	1.629	2.314	2.484
2076	0.000	0.517	1.614	2.346	2.537
2077	0.000	0.511	1.66	2.367	2.529
2078	0.000	0.496	1.649	2.359	2.591
2079	0.000	0.487	1.648	2.405	2.665
2080	0.000	0.535	1.68	2.435	2.676
2081	0.000	0.536	1.696	2.474	2.747
2082	0.000	0.483	1.716	2.449	2.815
2083	0.000	0.517	1.714	2.494	2.854
2084	0.000	0.573	1.716	2.529	2.921
2085	0.000	0.544	1.722	2.57	2.944
2086	0.000	0.526	1.723	2.539	2.938
2087	0.000	0.588	1.763	2.588	2.985
2088	0.000	0.533	1.736	2.604	3.047
2089	0.000	0.532	1.758	2.629	3.092
2090	0.000	0.577	1.803	2.673	3.137
2091	0.000	0.594	1.798	2.656	3.149
2092	0.000	0.548	1.765	2.697	3.234
2093	0.000	0.544	1.774	2.747	3.249
2094	0.000	0.545	1.813	2.739	3.311
2095	0.000	0.541	1.832	2.725	3.351
2096	0.000	0.589	1.825	2.751	3.418
2097	0.000	0.596	1.827	2.787	3.443
2098	0.000	0.52	1.851	2.808	3.51
2099	0.000	0.566	1.837	2.805	3.565
2100	0.000	0.000	1.758	2.786	0.000
2101	0.000	0.000	1.782	2.803	0.000
2102	0.000	0.000	1.762	2.813	0.000
2103	0.000	0.000	1.825	2.816	0.000
2104	0.000	0.000	1.791	2.824	0.000
2105	0.000	0.000	1.766	2.878	0.000
2106	0.000	0.000	1.835	2.846	0.000
2107	0.000	0.000	1.826	2.868	0.000
2108	0.000	0.000	1.803	2.92	0.000
2109	0.000	0.000	1.882	2.896	0.000
2110	0.000	0.000	1.861	2.862	0.000
2111	0.000	0.000	1.864	2.888	0.000
2112	0.000	0.000	1.843	2.901	0.000
2113	0.000	0.000	1.814	2.905	0.000
2114	0.000	0.000	1.852	2.95	0.000
2115	0.000	0.000	1.871	2.971	0.000
2116	0.000	0.000	1.903	2.923	0.000
2117	0.000	0.000	1.891	2.937	0.000
2118	0.000	0.000	1.888	2.963	0.000
2119	0.000	0.000	1.867	2.996	0.000
2120	0.000	0.000	1.817	3.016	0.000
2121	0.000	0.000	1.856	3.022	0.000
2122	0.000	0.000	1.856	2.99	0.000
2123	0.000	0.000	1.872	3.005	0.000
2124	0.000	0.000	1.881	3	0.000
2125	0.000	0.000	1.853	2.991	0.000
2126	0.000	0.000	1.871	3	0.000
2127	0.000	0.000	1.888	3.009	0.000
2128	0.000	0.000	1.893	2.996	0.000
2129	0.000	0.000	1.864	3.07	0.000
2130	0.000	0.000	1.86	3.038	0.000
2131	0.000	0.000	1.891	3.021	0.000
2132	0.000	0.000	1.9	3.101	0.000
2133	0.000	0.000	1.879	3.044	0.000
2134	0.000	0.000	1.862	3.038	0.000
2135	0.000	0.000	1.868	3.063	0.000
2136	0.000	0.000	1.903	3.072	0.000
2137	0.000	0.000	1.946	3.076	0.000
2138	0.000	0.000	1.915	3.041	0.000
2139	0.000	0.000	1.917	3.053	0.000
2140	0.000	0.000	1.92	3.084	0.000
2141	0.000	0.000	1.914	3.093	0.000
2142	0.000	0.000	1.928	3.143	0.000
2143	0.000	0.000	1.971	3.141	0.000
2144	0.000	0.000	1.919	3.16	0.000
2145	0.000	0.000	1.909	3.136	0.000
2146	0.000	0.000	1.921	3.193	0.000
2147	0.000	0.000	1.939	3.206	0.000
2148	0.000	0.000	1.901	3.134	0.000
2149	0.000	0.000	1.896	3.137	0.000
2150	0.000	0.000	1.914	3.2	0.000
2151	0.000	0.000	1.939	3.16	0.000
2152	0.000	0.000	1.953	3.072	0.000
2153	0.000	0.000	1.993	3.116	0.000
2154	0.000	0.000	1.99	3.208	0.000
