Date,Longitude,Latitude,Model,Scenario,Variable,Value
1950-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.5248369133332744E-5
1950-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.1430015951627865E-5
1950-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.11225233215373E-5
1950-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.6274501831503585E-5
1950-07-01,-122.6792,45.5208,ens-avg,historical,pr,4.876071216131095E-6
1950-08-01,-122.6792,45.5208,ens-avg,historical,pr,1.063011495716637E-5
1950-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.313307620876003E-5
1950-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.441515946178697E-5
1950-11-01,-122.6792,45.5208,ens-avg,historical,pr,5.8921828895108774E-5
1950-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.498115544673055E-5
1951-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.077573198126629E-5
1951-02-01,-122.6792,45.5208,ens-avg,historical,pr,5.4202693718252704E-5
1951-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.16253533330746E-5
1951-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.283484693383798E-5
1951-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.1231424398138188E-5
1951-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.4794243725191336E-5
1951-07-01,-122.6792,45.5208,ens-avg,historical,pr,4.0646309571457095E-6
1951-08-01,-122.6792,45.5208,ens-avg,historical,pr,7.486212780349888E-6
1951-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.8414388250675984E-5
1951-10-01,-122.6792,45.5208,ens-avg,historical,pr,2.999916068802122E-5
1951-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.132567068561912E-5
1951-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.841532740509138E-5
1952-01-01,-122.6792,45.5208,ens-avg,historical,pr,5.945218799752183E-5
1952-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.545446063275449E-5
1952-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.372490002424456E-5
